序号,代码,名称,占净值%,最新价,前收盘,总市值(亿),涨幅%,市盈率,换手率%
1,601919.SH,中远海控,2.83,14.28,14.56,1793.03,-1.92,9.30,0.51
2,600256.SH,广汇能源,2.24,6.12,6.24,391.19,-1.92,41.37,1.40
3,600188.SH,兖矿能源,1.85,21.00,20.65,1251.88,1.69,13.32,0.63
4,600295.SH,鄂尔多斯,1.66,13.37,13.93,374.20,-4.02,14.27,0.41
5,603565.SH,中谷物流,1.63,10.55,10.62,221.56,-0.66,10.51,0.33
6,601699.SH,潞安环能,1.61,15.16,14.68,453.50,3.27,15.76,1.11
7,601225.SH,陕西煤业,1.57,24.41,23.95,2366.55,1.92,14.05,0.38
8,600546.SH,山煤国际,1.55,13.55,13.33,268.62,1.65,15.67,0.87
9,601088.SH,中国神华,1.48,45.41,44.80,8315.46,1.36,23.08,0.15
10,601666.SH,平煤股份,1.45,7.73,7.77,190.88,-0.51,39.73,1.66
11,600348.SH,华阳股份,1.23,9.04,9.07,326.12,-0.33,16.86,0.80
12,600398.SH,海澜之家,1.22,5.65,5.81,271.36,-2.75,7.15,0.53
13,600273.SH,嘉化能源,1.15,7.28,7.46,95.46,-2.41,23.09,0.93
14,000672.SZ,上峰水泥,1.08,18.61,18.94,180.40,-1.74,141.36,2.55
15,301109.SZ,军信股份,1.06,14.39,14.78,113.55,-2.64,12.92,1.75
16,601101.SH,昊华能源,1.06,10.73,10.49,154.51,2.29,12.08,2.09
17,600755.SH,厦门国贸,1.06,5.88,6.02,125.69,-2.33,12.35,0.69
18,002043.SZ,兔宝宝,1.04,12.92,13.43,107.20,-3.80,18.10,1.00
19,002867.SZ,周大生,0.97,12.33,12.43,133.84,-0.80,11.40,0.38
20,002416.SZ,爱施德,0.88,11.63,11.85,144.13,-1.86,28.16,1.15
21,600461.SH,洪城环境,0.87,10.19,10.43,130.86,-2.30,10.35,0.45
22,002572.SZ,索菲亚,0.87,9.39,9.66,90.43,-2.80,-58.83,1.39
23,600012.SH,皖通高速,0.87,16.26,16.40,189.53,-0.85,12.95,0.26
24,600064.SH,南京高科,0.83,7.34,7.47,127.01,-1.74,5.06,0.69
25,601019.SH,山东出版,0.80,7.12,7.25,148.59,-1.79,11.31,0.26
26,601098.SH,中南传媒,0.79,10.93,11.13,196.30,-1.80,12.93,0.24
27,601928.SH,凤凰传媒,0.78,8.88,9.01,225.99,-1.44,13.36,0.17
28,600757.SH,长江传媒,0.78,7.82,7.94,94.91,-1.51,7.09,0.44
29,600057.SH,厦门象屿,0.78,6.28,6.39,178.39,-1.72,8.55,0.61
30,600373.SH,中文传媒,0.73,7.60,7.70,102.40,-1.30,23.55,0.53
31,600729.SH,重庆百货,0.61,19.45,19.51,85.67,-0.31,7.68,1.02
32,600971.SH,恒源煤电,0.53,7.50,7.44,90.00,0.81,73.72,1.12
33,603967.SH,中创物流,0.51,11.94,12.38,41.39,-3.55,10.47,0.97
34,600123.SH,兰花科创,0.49,6.28,6.27,92.52,0.16,-84.23,1.49
35,600997.SH,开滦股份,0.49,5.28,5.32,83.84,-0.75,-19.18,0.47
36,002267.SZ,陕天然气,0.47,7.27,7.41,80.85,-1.89,5.44,0.43
37,603706.SH,东方环宇,0.46,22.32,22.78,42.27,-2.02,10.29,0.77
38,000090.SZ,天健集团,0.44,3.19,3.28,59.61,-2.74,-63.92,0.74
39,002154.SZ,报喜鸟,0.43,4.18,4.27,61.00,-2.11,6.44,1.78
40,920599.SZ,同力股份,0.42,15.65,16.28,72.39,-3.87,9.58,1.04
41,002540.SZ,亚太科技,0.42,5.48,5.68,68.56,-3.52,43.23,1.16
42,002737.SZ,葵花药业,0.40,12.79,12.94,74.69,-1.16,16.93,0.43
