code,date,open,high,low,close,volume,amount
605303.SH,2025-08-20,14.97,16.56,14.31,16.56,24328980.0,379617184.0
605303.SH,2025-08-21,17.55,18.22,17.55,18.22,16402600.0,294834688.0
605303.SH,2025-08-22,20.04,20.04,20.04,20.04,2437999.0,48857500.0
605303.SH,2025-08-25,22.04,22.04,22.04,22.04,1514165.0,33372196.0
605303.SH,2025-08-26,22.2,24.24,19.97,24.24,47344719.0,1002315456.0
605303.SH,2025-08-27,24.98,25.85,21.82,21.82,49364304.0,1124995584.0
605303.SH,2025-08-28,19.64,20.76,19.64,19.64,31511220.0,626238656.0
605303.SH,2025-08-29,18.86,19.1,17.68,17.68,29990837.0,546211264.0
605303.SH,2025-09-01,17.0,18.38,17.0,17.95,23270118.0,412168032.0
605303.SH,2025-09-02,17.8,17.8,16.46,16.72,19936426.0,337761728.0
605303.SH,2025-09-03,17.12,17.16,15.87,15.94,14255964.0,233739008.0
605303.SH,2025-09-04,16.1,16.26,15.37,15.72,13307577.0,211017712.0
605303.SH,2025-09-05,15.8,15.85,15.41,15.82,8771900.0,137522400.0
605303.SH,2025-09-08,15.85,15.95,15.53,15.75,7710460.0,121338664.0
605303.SH,2025-09-09,15.75,15.79,15.28,15.43,7868900.0,122097464.0
605303.SH,2025-09-10,15.45,15.68,15.26,15.51,6700262.0,103363416.0
605303.SH,2025-09-11,15.51,15.55,15.32,15.53,5873300.0,90869184.0
605303.SH,2025-09-12,15.6,17.08,15.52,17.08,23077240.0,378333728.0
605303.SH,2025-09-15,17.12,18.79,16.56,18.79,31841127.0,574560448.0
605303.SH,2025-09-16,18.85,20.67,18.81,18.94,35833043.0,703434368.0
605303.SH,2025-09-17,18.26,19.86,17.3,17.97,26259284.0,482353248.0
605303.SH,2025-09-18,17.72,17.79,16.69,16.91,22879416.0,393143168.0
605303.SH,2025-09-19,16.67,17.23,16.33,16.35,12023523.0,200758528.0
605303.SH,2025-09-22,16.65,16.72,16.3,16.51,7565700.0,124968560.0
605303.SH,2025-09-23,16.63,16.78,15.81,16.43,9287200.0,149686880.0
605303.SH,2025-09-24,16.52,17.13,15.89,16.71,11247013.0,187872544.0
605303.SH,2025-09-25,16.53,16.76,16.22,16.28,7522000.0,123556376.0
605303.SH,2025-09-26,16.3,16.7,15.95,16.4,7183005.0,117418672.0
605303.SH,2025-09-29,16.4,17.32,16.18,17.05,11510150.0,194577632.0
605303.SH,2025-09-30,17.08,17.39,16.28,16.35,10438000.0,173629360.0
605303.SH,2025-10-09,16.36,17.22,16.35,16.82,9172983.0,153727040.0
605303.SH,2025-10-10,17.0,18.48,16.61,17.76,15491890.0,271625664.0
605303.SH,2025-10-13,16.41,17.36,16.41,17.01,8840620.0,150374352.0
605303.SH,2025-10-14,16.99,18.5,16.99,17.55,11914500.0,211085840.0
