stock,entry_date,exit_date,entry_price,exit_price,ret
301217.SZ,2026-04-28,2026-05-06,53.39,88.55,0.6585502903165386
301217.SZ,2026-04-27,2026-04-30,48.38,78.34,0.6192641587432823
605268.SH,2026-03-04,2026-03-09,10.31,15.33,0.4869059165858389
300857.SZ,2026-04-13,2026-04-16,218.24,319.0,0.4616935483870967
301217.SZ,2026-02-12,2026-02-25,34.39,48.82,0.41959872055830183
301217.SZ,2026-02-11,2026-02-24,32.45,44.95,0.38520801232665636
605268.SH,2026-03-05,2026-03-10,12.67,16.86,0.33070244672454613
300395.SZ,2026-02-24,2026-02-27,102.29,134.32,0.31312933815622235
605268.SH,2026-03-03,2026-03-06,10.69,13.94,0.304022450888681
688401.SH,2026-04-17,2026-04-22,53.69,69.81,0.3002421307506054
688262.SH,2026-02-04,2026-02-09,34.74,44.25,0.273747841105354
300857.SZ,2026-04-14,2026-04-17,249.6,316.9,0.2696314102564102
300057.SZ,2026-04-24,2026-04-29,7.67,9.73,0.26857887874837033
301176.SZ,2026-04-24,2026-04-29,29.94,37.87,0.26486305945223765
300179.SZ,2026-02-12,2026-02-25,19.84,24.87,0.2535282258064517
600869.SH,2026-02-13,2026-02-26,12.18,15.24,0.2512315270935961
301291.SZ,2026-02-11,2026-02-24,48.39,60.54,0.2510849349039057
300254.SZ,2026-04-28,2026-05-06,11.79,14.68,0.2451229855810009
600096.SH,2026-02-13,2026-02-26,35.8,44.55,0.24441340782122906
300570.SZ,2026-02-09,2026-02-12,123.89,154.05,0.2434417628541449
688702.SH,2026-02-10,2026-02-13,143.52,177.44,0.2363433667781493
688702.SH,2026-02-11,2026-02-24,152.69,187.88,0.2304669591983758
603308.SH,2026-02-09,2026-02-12,54.99,67.29,0.22367703218767054
300821.SZ,2026-02-12,2026-02-25,12.17,14.89,0.22350041084634353
301075.SZ,2026-04-15,2026-04-20,66.75,81.6,0.22247191011235948
600338.SH,2026-04-23,2026-04-28,20.54,25.1,0.22200584225900694
300821.SZ,2026-04-03,2026-04-09,11.02,13.43,0.21869328493647916
300057.SZ,2026-03-25,2026-03-30,5.71,6.94,0.21541155866900183
601702.SH,2026-01-26,2026-01-29,22.93,27.83,0.21369385085041426
002080.SZ,2026-02-06,2026-02-11,37.43,45.34,0.21132781191557584
300097.SZ,2026-04-14,2026-04-17,8.37,10.09,0.2054958183990443
688702.SH,2026-04-23,2026-04-28,237.84,286.0,0.20248906828119742
601208.SH,2026-02-24,2026-02-27,29.07,34.95,0.2022703818369454
301075.SZ,2026-04-16,2026-04-21,67.85,81.54,0.20176860722181303
301075.SZ,2026-02-12,2026-02-27,62.13,74.5,0.19909866409142116
300490.SZ,2026-03-04,2026-03-09,15.9,19.06,0.19874213836477977
301075.SZ,2026-02-24,2026-03-03,63.09,75.59,0.1981296560469171
688611.SH,2026-04-14,2026-04-17,52.26,62.38,0.19364714887102957
300057.SZ,2026-04-22,2026-04-27,7.54,8.99,0.19230769230769232
301099.SZ,2026-03-16,2026-03-19,42.58,50.7,0.19069985908877418
301172.SZ,2026-04-03,2026-04-09,24.85,29.57,0.18993963782696172
300821.SZ,2026-02-13,2026-02-26,12.03,14.29,0.18786367414796343
002080.SZ,2026-04-08,2026-04-13,42.22,50.14,0.187588820464235
301469.SZ,2026-02-11,2026-02-24,34.36,40.8,0.1874272409778812
300931.SZ,2026-04-24,2026-04-29,13.07,15.51,0.1866870696250956
688260.SH,2026-02-11,2026-02-24,30.1,35.71,0.1863787375415282
300821.SZ,2026-04-01,2026-04-07,11.29,13.39,0.1860053144375555
300006.SZ,2026-04-01,2026-04-07,5.08,6.02,0.18503937007874005
600096.SH,2026-02-12,2026-02-25,36.59,43.3,0.18338343809784075
300821.SZ,2026-02-24,2026-02-27,12.24,14.47,0.18218954248366015
000762.SZ,2026-03-24,2026-03-27,26.13,30.83,0.17986988136241866
000990.SZ,2026-04-20,2026-04-23,10.51,12.4,0.1798287345385348
688702.SH,2026-02-09,2026-02-12,135.19,159.26,0.17804571344034317
688611.SH,2026-04-16,2026-04-21,55.91,65.66,0.17438740833482383
688392.SH,2026-04-03,2026-04-09,109.92,129.08,0.17430858806404667
688359.SH,2026-02-13,2026-02-26,74.9,87.87,0.17316421895861145
301075.SZ,2026-03-05,2026-03-10,80.45,94.31,0.17228091982597885
688179.SH,2026-02-11,2026-02-24,16.08,18.85,0.17226368159204
603203.SH,2026-04-03,2026-04-09,37.71,44.2,0.17210289047997884
002812.SZ,2026-03-09,2026-03-12,60.5,70.89,0.17173553719008267
301291.SZ,2026-02-09,2026-02-12,44.87,52.55,0.1711611321595721
600338.SH,2026-04-14,2026-04-17,18.54,21.71,0.1709816612729235
688629.SH,2026-02-10,2026-02-13,98.82,115.56,0.16939890710382524
603876.SH,2026-03-09,2026-03-12,18.42,21.53,0.16883821932681864
300857.SZ,2026-02-09,2026-02-12,212.29,247.99,0.16816618776202374
605268.SH,2026-03-02,2026-03-05,10.85,12.67,0.167741935483871
688260.SH,2026-04-23,2026-04-28,30.39,35.41,0.16518591641987482
300006.SZ,2026-04-02,2026-04-08,5.18,6.03,0.1640926640926642
300322.SZ,2026-04-13,2026-04-16,26.89,31.26,0.16251394570472297
688260.SH,2026-02-13,2026-02-26,29.51,34.21,0.15926804473059977
301469.SZ,2026-02-12,2026-02-25,36.0,41.7,0.1583333333333334
688702.SH,2026-01-26,2026-01-29,134.09,155.18,0.15728242225371022
688260.SH,2026-04-22,2026-04-27,28.67,33.14,0.1559121032438088
002443.SZ,2026-04-20,2026-04-23,9.64,11.14,0.15560165975103735
300223.SZ,2026-02-12,2026-02-25,121.55,140.46,0.1555738379267792
301291.SZ,2026-02-13,2026-02-26,51.63,59.64,0.1551423590935502
300037.SZ,2026-04-07,2026-04-10,55.21,63.77,0.1550443760188372
002466.SZ,2026-03-24,2026-03-27,50.18,57.96,0.1550418493423675
600884.SH,2026-02-05,2026-02-10,13.1,15.12,0.1541984732824427
600338.SH,2026-04-27,2026-04-30,23.9,27.58,0.15397489539748954
300782.SZ,2026-04-08,2026-04-13,88.5,102.05,0.15310734463276832
605268.SH,2026-03-06,2026-03-11,13.94,16.07,0.15279770444763277
300254.SZ,2026-04-27,2026-04-30,11.72,13.5,0.15187713310580198
600096.SH,2026-02-24,2026-02-27,38.53,44.37,0.15157020503503754
301571.SZ,2026-03-23,2026-03-26,55.74,64.17,0.15123789020452097
301291.SZ,2026-03-09,2026-03-12,61.25,70.51,0.15118367346938782
300032.SZ,2026-03-05,2026-03-10,5.23,6.02,0.15105162523900556
300570.SZ,2026-04-08,2026-04-13,118.75,136.6,0.15031578947368415
000626.SZ,2026-03-06,2026-03-11,7.32,8.42,0.1502732240437158
688779.SH,2026-02-12,2026-02-25,10.15,11.67,0.14975369458128074
688260.SH,2026-04-24,2026-04-29,31.08,35.72,0.14929214929214932
600150.SH,2026-04-20,2026-04-23,33.6,38.6,0.1488095238095238
600869.SH,2026-04-02,2026-04-08,13.78,15.83,0.14876632801161108
600869.SH,2026-04-22,2026-04-27,15.01,17.24,0.14856762158560952
300499.SZ,2026-04-08,2026-04-13,35.21,40.44,0.1485373473445043
300322.SZ,2026-04-08,2026-04-13,24.12,27.7,0.14842454394693194
688359.SH,2026-04-13,2026-04-16,84.03,96.49,0.14828037605617034
301042.SZ,2026-03-04,2026-03-09,82.84,95.03,0.14715113471752772
301042.SZ,2026-03-05,2026-03-10,85.9,98.43,0.1458672875436554
300037.SZ,2026-02-06,2026-02-11,48.05,55.03,0.14526534859521342
300931.SZ,2026-02-06,2026-02-11,11.44,13.1,0.14510489510489513
