Date,Open,High,Low,Close,Volume
2026-01-09,4086.76,4121.72,4083.62,4120.43,729838016.0
2026-01-12,4134.89,4168.36,4119.88,4165.29,839456064.0
2026-01-13,4169.7,4179.7,4126.23,4138.76,868382720.0
2026-01-14,4138.65,4190.87,4103.62,4126.09,952551296.0
2026-01-15,4106.22,4133.07,4096.85,4112.6,680250816.0
2026-01-16,4127.06,4140.23,4091.81,4101.91,763588480.0
2026-01-19,4090.72,4126.52,4090.06,4114.0,688905856.0
2026-01-20,4116.37,4128.93,4080.29,4113.65,734362496.0
2026-01-21,4103.53,4135.96,4103.53,4116.94,666989504.0
2026-01-22,4126.07,4140.84,4109.92,4122.58,709695424.0
2026-01-23,4130.11,4143.75,4120.2,4136.16,782115456.0
2026-01-26,4144.78,4160.99,4124.7,4132.61,887439744.0
2026-01-27,4125.22,4158.8,4101.83,4139.9,754990848.0
2026-01-28,4150.22,4170.15,4138.02,4151.24,823026752.0
2026-01-29,4155.92,4170.21,4138.3,4157.98,905908352.0
2026-01-30,4131.99,4152.85,4064.78,4117.95,804342720.0
2026-02-02,4079.71,4103.41,4013.66,4015.75,732953728.0
2026-02-03,4043.91,4069.42,4002.78,4067.74,637684224.0
2026-02-04,4064.68,4104.62,4062.68,4102.2,674254272.0
2026-02-05,4075.03,4088.9,4048.94,4075.92,596722240.0
2026-02-06,4040.3,4095.03,4029.97,4065.58,556709824.0
2026-02-09,4103.54,4123.16,4093.06,4123.09,572632576.0
2026-02-10,4127.77,4134.34,4117.56,4128.37,524620960.0
2026-02-11,4124.43,4142.56,4122.43,4131.99,500685280.0
2026-02-12,4136.99,4140.59,4124.13,4134.02,529370112.0
2026-02-13,4115.92,4123.84,4079.77,4082.07,500799488.0
2026-02-24,4129.13,4131.55,4105.94,4117.41,566322240.0
2026-02-25,4123.78,4167.84,4122.7,4147.23,724787200.0
2026-02-26,4151.07,4152.19,4127.15,4146.63,651702848.0
2026-02-27,4128.9,4166.23,4128.36,4162.88,682047616.0
2026-03-02,4151.8,4188.77,4131.37,4182.59,861579200.0
2026-03-03,4189.41,4197.23,4116.01,4122.68,921139200.0
2026-03-04,4087.63,4106.04,4055.41,4082.47,765169536.0
2026-03-05,4109.78,4125.62,4090.62,4108.57,689746560.0
2026-03-06,4085.9,4129.46,4085.9,4124.19,646765760.0
2026-03-09,4098.7,4106.53,4052.55,4096.6,797803584.0
2026-03-10,4098.59,4123.96,4098.59,4123.14,674922176.0
2026-03-11,4123.67,4135.84,4112.8,4133.43,707727168.0
2026-03-12,4133.2,4141.65,4103.16,4129.1,786151168.0
2026-03-13,4117.57,4134.08,4086.85,4095.45,792054784.0
2026-03-16,4092.25,4096.13,4048.09,4084.79,732227072.0
2026-03-17,4086.3,4108.4,4049.58,4049.91,678771200.0
2026-03-18,4053.31,4065.37,4023.03,4062.98,623873088.0
2026-03-19,4028.54,4042.02,3994.17,4006.55,667255424.0
2026-03-20,4004.57,4022.7,3955.71,3957.05,666798400.0
2026-03-23,3904.95,3906.62,3794.68,3813.28,804738880.0
2026-03-24,3849.63,3881.42,3807.99,3881.28,680622016.0
2026-03-25,3892.27,3933.06,3891.82,3931.84,688343616.0
2026-03-26,3924.96,3937.1,3880.57,3889.08,615973952.0
2026-03-27,3852.09,3924.11,3852.09,3913.72,561342976.0
2026-03-30,3884.28,3924.29,3872.78,3923.29,595589504.0
2026-03-31,3924.07,3948.81,3891.86,3891.86,606704960.0
2026-04-01,3939.57,3955.94,3929.92,3948.55,564611584.0
2026-04-02,3940.8,3952.58,3900.12,3919.29,544212864.0
2026-04-03,3927.59,3929.53,3871.3,3880.1,492699072.0
2026-04-09,3967.63,3979.13,3955.25,3966.17,541569792.0
