代码,名称,总市值(亿),流通市值(亿),涨幅%,市盈率,换手率%
002371.SZ,北方华创,4737.51,4733.72,-2.48,72.45,1.45
300394.SZ,天孚通信,3311.43,3304.79,4.48,168.19,5.37
600150.SH,中国船舶,2852.96,2852.96,-2.02,14.76,1.29
002142.SZ,宁波银行,2041.83,2040.55,-0.03,6.24,0.17
000792.SZ,盐湖股份,1661.55,1661.54,-3.47,13.72,0.93
002281.SZ,光迅科技,1629.97,1575.06,-2.25,169.84,5.72
001309.SZ,德明利,1520.73,1081.50,1.71,11.36,8.15
000063.SZ,中兴通讯,1388.06,1387.92,-3.04,31.45,2.56
300857.SZ,协创数据,1196.30,1190.18,-5.25,39.86,3.71
002080.SZ,中材科技,1190.13,1190.13,-4.47,58.63,1.76
002460.SZ,赣锋锂业,1185.02,889.52,-2.08,20.95,3.11
688702.SH,盛科通信-U,1158.29,573.47,-4.23,-1700.42,3.10
002156.SZ,通富微电,1106.02,1105.92,-3.33,84.03,14.68
002709.SZ,天赐材料,1076.56,796.91,1.58,16.27,5.84
601231.SH,环旭电子,1018.00,1018.00,2.85,60.99,2.70
002466.SZ,天齐锂业,954.19,953.32,-2.71,14.75,3.06
688347.SH,华虹公司,884.98,884.98,-2.42,675.57,7.57
301217.SZ,铜冠铜箔,787.65,787.65,-7.26,185.16,3.14
001389.SZ,广合科技,770.76,274.67,-6.56,54.38,5.10
300223.SZ,北京君正,766.32,667.91,6.16,60.06,16.23
300395.SZ,菲利华,729.56,714.52,-5.80,126.90,6.00
002812.SZ,恩捷股份,698.30,584.91,1.11,67.06,3.48
300782.SZ,卓胜微,665.60,518.89,-1.82,-115.31,4.43
688629.SH,华丰科技,661.66,260.91,-2.26,157.37,9.33
600292.SH,电投水电,641.70,64.36,-0.41,40.82,2.73
300058.SZ,蓝色光标,569.05,551.25,-2.46,112.81,6.41
600096.SH,云天化,568.04,568.04,-2.72,9.97,1.59
300037.SZ,新宙邦,541.29,388.31,3.19,28.16,5.89
601208.SH,东材科技,529.54,529.54,-1.65,70.86,6.46
300919.SZ,中伟新材,514.04,500.05,0.74,25.71,1.80
000157.SZ,中联重科,513.75,511.84,-2.69,17.70,0.82
000688.SZ,国城矿业,508.04,508.04,-6.07,35.96,1.83
000703.SZ,恒逸石化,495.98,493.49,-4.91,6.22,0.79
300285.SZ,国瓷材料,485.96,408.07,-1.83,85.40,9.02
002487.SZ,大金重工,476.02,470.92,-3.81,27.38,1.73
002222.SZ,福晶科技,471.85,469.74,-3.52,180.81,7.04
603308.SH,应流股份,468.81,468.81,-2.15,97.54,2.28
600869.SH,远东股份,466.51,466.51,1.55,120.70,3.60
300763.SZ,锦浪科技,457.13,369.32,6.77,186.85,7.87
